style_name,total_artists,first_artist_birth,last_active_year,style_duration
Unknown,7472,9,2025,2016
Ink and wash painting,32,699,2025,1326
Conceptual Art,176,1163,2025,862
Romanesque,6,1098,1919,821
Mozarabic,2,300,1100,800
Byzantine,5,1240,2011,771
International Gothic,9,1280,2025,745
Gothic,3,1380,2025,645
Northern Renaissance,46,1375,1972,597
Early Renaissance,40,1370,1939,569
Orientalism,107,1429,1984,555
Renaissance,10,1445,1970,525
Romanticism,328,1517,2025,508
Gongbi,2,1061,1552,491
Tenebrism,22,1565,2009,444
Mannerism (Late Renaissance),17,1480,1920,440
Neoclassicism,105,1596,2015,419
Surrealism,269,1642,2025,383
Art Informel,101,1642,2025,383
Neo-Expressionism,99,1642,2025,383
Naturalism,30,1647,2022,375
Baroque,165,1532,1902,370
Expressionism,502,1678,2025,347
Cubism,228,1678,2025,347
Op Art,89,1680,2025,345
Abstract Art,175,1685,2025,340
Social Realism,59,1685,2025,340
Muralism,17,1685,2010,325
Rococo,66,1639,1957,318
Minimalism,162,1734,2025,291
Environmental (Land) Art,25,1734,2025,291
Academicism,142,1735,2025,290
Classicism,8,1590,1873,283
Realism,365,1746,2025,279
Maximalism,4,1750,2025,275
Impressionism,379,1756,2025,269
Symbolism,144,1757,2025,268
Naïve Art (Primitivism),79,1777,2025,248
Outsider art,21,1777,2025,248
Post-Minimalism,71,1796,2025,229
Abstract Expressionism,244,1802,2025,223
Art Nouveau (Modern),195,1809,2023,214
Color Field Painting,85,1817,2025,208
Fiber art,3,1818,2025,207
Kitsch,39,1823,2025,202
Neo-Impressionism,33,1830,2025,195
Magic Realism,51,1835,2025,190
Post-Impressionism,261,1839,2025,186
Proto Renaissance,8,1255,1440,185
Fauvism,80,1841,2025,184
Japonism,39,1824,2001,177
Art Brut,19,1854,2025,171
Art Deco,33,1855,2025,170
Documentary photography,4,1857,2025,168
Pointillism,36,1846,2012,166
Biedermeier,8,1793,1958,165
Costumbrismo,9,1781,1944,163
Contemporary Realism,77,1869,2025,156
Socialist Realism,51,1869,2025,156
Figurative Expressionism,26,1869,2025,156
New Realism,12,1870,2025,155
Constructivism,46,1863,2016,153
Divisionism,27,1837,1989,152
Neo-Romanticism,15,1845,1996,151
Modernismo,10,1852,2002,150
High Renaissance,35,1429,1578,149
American Realism,7,1831,1979,148
Cubo-Futurism,18,1879,2025,146
Pictorialism,12,1820,1966,146
Neo-baroque,10,1879,2025,146
Metaphysical art,27,1881,2025,144
Neo-Figurative Art,12,1881,2025,144
Cubo-Expressionism,10,1881,2025,144
Suprematism,8,1879,2023,144
Regionalism,19,1870,2013,143
Cloisonnism,16,1848,1990,142
Verism,5,1841,1982,141
Dada,39,1872,2012,140
Lyrical Abstraction,67,1886,2025,139
Joseon Dynasty,2,1758,1897,139
Precisionism,13,1875,2013,138
Hard Edge Painting,46,1888,2025,137
Pop Art,144,1889,2025,136
Concretism,29,1886,2022,136
Geometric,3,1889,2025,136
Art Singulier,2,1889,2025,136
Tonalism,15,1825,1960,135
Kinetic Art,30,1887,2020,133
Contemporary,30,1893,2025,132
Post-Painterly Abstraction,29,1895,2025,130
Light and Space,28,1895,2025,130
Luminism,8,1796,1924,128
Native Art,11,1898,2025,127
Existential Art,5,1898,2025,127
Tachisme,31,1896,2022,126
Neoplasticism,12,1872,1996,124
Classical Realism,6,1901,2025,124
Spatialism,16,1899,2021,122
Neo-Dada,39,1905,2025,120
Feminist Art,35,1905,2025,120
Automatic Painting,7,1886,2006,120
Junk Art,6,1905,2025,120
Mail Art,5,1905,2025,120
Action painting,9,1889,2008,119
Neo-Rococo,2,1755,1873,118
Excessivism,4,1909,2024,115
Poster Art Realism,4,1911,2025,114
Rayonism,3,1881,1992,111
Purism,9,1875,1985,110
Futurism,30,1868,1977,109
Orphism,13,1871,1979,108
Street art,30,1918,2025,107
Nouveau Réalisme,12,1918,2024,106
Lettrism,6,1919,2025,106
Zen,2,1905,2011,106
Photorealism,13,1920,2025,105
Hyper-Realism,6,1921,2025,104
P&D (Pattern and Decoration),7,1923,2025,102
Cyber Art,3,1923,2025,102
Indian Space painting,3,1911,2012,101
Performance Art,14,1925,2025,100
Cartographic Art,5,1924,2024,100
Confessional Art,1,1911,2010,99
Fantastic Realism,9,1927,2025,98
Synthetic Cubism,9,1881,1979,98
Neo-Minimalism,13,1928,2025,97
Fantasy Art,6,1928,2025,97
Synthetism,6,1848,1944,96
Analytical\xa0Realism,2,1883,1979,96
Neo-Pop Art,35,1930,2025,95
Postcolonial art,16,1930,2025,95
Neo-Byzantine,2,1882,1976,94
Severe Style,2,1927,2021,94
New European Painting,11,1932,2025,93
Ukiyo-e,2,1867,1960,93
Analytical Cubism,5,1881,1973,92
Sots Art,2,1933,2025,92
Hyper-Mannerism (Anachronism),1,1931,2021,90
Synchromism,2,1886,1975,89
Shin-hanga,1,1912,2001,89
Safavid Period,2,1881,1968,87
New Medievialism,2,1897,1984,87
Sky Art,1,1928,2014,86
Neo-Concretism,6,1919,2004,85
Intimism,3,1865,1947,82
Neo-Geo,4,1945,2025,80
Stuckism,3,1948,2025,77
Mechanistic Cubism,1,1901,1978,77
Mosan art,1,1130,1205,75
Tubism,1,1881,1955,74
Transavantgarde,7,1952,2025,73
Transautomatism,1,1928,2000,72
Miserablism,1,1928,1999,71
Moscow school of icon painting,1,1360,1430,70
Lowbrow Art,5,1958,2025,67
New Casualism,2,1946,2011,65
Early Christian,1,1833,1898,65
Yoruba,1,1873,1938,65
New Ink Painting,2,1961,2025,64
Superflat,2,1962,2025,63
Ero guro,1,1902,1963,61
Queer art,1,1965,2025,60
Medieval Art,1,1210,1270,60
Neo-Orthodoxism,1,1941,1999,58
Modernism,1,1902,1959,57
Neo-Suprematism,1,1879,1935,56
Street Photography,1,1971,2025,54
Sumi-e (Suiboku-ga),1,1971,2025,54
Digital Art,5,1973,2025,52
Spectralism,1,1880,1930,50
New media art,1,1987,2025,38
Graffiti Art,1,1974,2011,37
Site-specific art,1,1955,1911,-44
