nationality,artist_count
,10449
American,4295
German,788
British,710
French,689
Italian,426
Japanese,421
Russian,251
Swiss,247
Dutch,236
Austrian,177
Canadian,174
Spanish,155
Brazilian,142
Mexican,138
Polish,126
Argentine,113
Swedish,97
Belgian,95
Danish,89
Chinese,84
Romanian,68
Venezuelan,66
South African,66
Czech,66
Australian,65
Colombian,62
Hungarian,61
Israeli,59
Chilean,58
Finnish,50
Cuban,50
Indian,48
Portuguese,45
Norwegian,42
Ukrainian,34
Peruvian,34
Greek,32
Croatian,32
Armenian,28
Turkish,28
Korean,25
Uruguayan,21
Iranian,20
Slovenian,19
Irish,19
"American, German",17
 (,15
Haitian,14
New Zealander,14
Nigerian,13
Argentinean,13
Icelandic,12
Native American,12
Serbian,12
Scottish,10
Puerto Rican,10
Canadian Inuit,9
"American, Canadian",8
"Jewish, Romanian",8
"French, American",8
South Korean,7
 (American,7
"American, Jewish",7
Bulgarian,7
Guatemalan,7
Lebanese,7
Georgian,7
Moroccan,7
Slovak,7
Egyptian,7
"French, Jewish, Romanian",6
Congolese,6
Ecuadorian,6
Vietnamese,6
"Italian, American",6
"American, Armenian",6
"French, Belgian",6
Filipino,6
"French, Romanian",6
"Jewish, German",5
"Russian, Jewish",5
Macedonian,5
"French, Swiss",5
Bolivian,5
Pakistani,5
"Jewish, Hungarian",5
 (Swiss,5
"Russian, Ukrainian",5
Panamanian,4
Kenyan,4
Lithuanian,4
"British, Australian",4
Flemish,4
"American, Japanese",4
Bangladeshi,4
Taiwanese,4
Senegalese,4
Sudanese,4
Bosnian,4
"French, Polish",4
Ethiopian,4
"American, Greek",4
"British, Irish",4
"American, Latvian",4
"British, Canadian",4
"French, Jewish",4
Zimbabwean,4
Iranians,4
 (Russian,4
"French, German",4
 (Italian,4
Syrian,3
"Ukrainian, Russian",3
"Hungarian, Romanian",3
"German, American",3
"French, British",3
"French, Russian",3
Albanian,3
Welsh,3
 (British,3
"American, Chinese",3
"French, Hungarian",3
Cameroonian,3
Indonesian,3
Palestinian,3
"American, Polish",3
"Austrian, German",3
Luxembourger,3
Jamaican,3
Algerian,3
Iraqi,3
"French, Chinese",3
Latvian,3
"German, Polish",2
"American, Mexican",2
"French, Japanese",2
"Italian, French",2
"American, Ukrainian",2
Malian,2
"Belarusian, Jewish",2
Emirati,2
Thai,2
Azerbaijani,2
Salvadoran,2
Estonian,2
"American, Irish",2
Singaporean,2
"Romanian, Jewish",2
"French, Bulgarian",2
"American, Russian, Jewish",2
English,2
Romanians,2
"American, Romanian",2
Bahamian,2
Costa Rican,2
"French, Argentinean",2
"German, Swiss",2
"Italian, Greek",2
"Brazilian, Italian",2
"Jewish, Polish",2
"American, Swiss",2
"Italian, Brazilian",2
 (Spanish,2
Trinidad and Tobagonian,2
"French, Canadian",2
 (Dutch,2
"French, Hungarian, Romanian",2
 (Canadian,2
"British, South African",2
Malaysian,2
Mozambican,2
"American, Spanish",2
"Jewish, Israeli",2
Nicaraguan,2
"Japanese, Swiss",1
Ivatan,1
Bengali,1
Dominican,1
 (Scottish,1
"Belgian, American",1
"Polish, Belarusian",1
"British, Egyptian",1
"American, Cuban",1
"Lebanese, American",1
"French, Polish, Romanian",1
"French, Russian, Jewish",1
"Jewish, Ukrainian, Belarusian",1
Hunkpapa Lakota,1
"Swiss, Brazilian",1
"American, Swedish",1
"Austrian, Brazilian",1
"British, Jewish",1
"British, Guyanese",1
"American, Slovak",1
"Japanese, South Korean",1
"German, Swiss, Icelandic",1
"Swedish, Brazilian",1
"Italian, French, Argentinean",1
"Italian, Argentinean",1
"German, Brazilian",1
"French, Uruguayan",1
"Iranian, American",1
"Russian, American, Jewish",1
Catalan,1
"German, Estonian",1
"Russian, Polish, Latvian",1
Norwegians,1
"German, Venezuelan",1
"Americans, Germans",1
"Romanian, Macedonian",1
"Armenian, American",1
"Russian, German",1
"French, Greek",1
"Armenian, Lebanese",1
"French, Ukrainian",1
"American, British",1
Jewish,1
Italians,1
"French, Jewish, Belarusian",1
Kuwaiti,1
Ivorian,1
"Italian, Swiss",1
"Russian, Polish, Ukrainian",1
"Armenian, Ukrainian",1
"Ukrainian, Polish",1
"Argentinean, Slovak",1
"Spanish, French",1
"French, Serbian",1
"Jewish, Swiss, Romanian",1
"Russian, Ukrainian, Greek",1
Sahrawi,1
"Jewish, Polish, Israeli",1
Sri Lankan,1
Bulgarians,1
"German, British",1
"American, Australian",1
"Japanese, Canadian",1
"American, German, Uruguayan",1
"Irish, Canadian",1
"Jewish, Romanian, Israeli",1
Cambodian,1
"American, British, Jewish",1
"Romanian, Israeli, Jewish",1
 (Vietnamese,1
"Americans, Armenians, Ethiopians",1
"French, Jewish, Lithuanian",1
"Hungarian, Indian",1
"Spanish, Dominican",1
"French, Jewish, Israeli",1
"French, Armenian",1
"Diné (Navajo),  Hopi, "" Tohono Oodham"",  and Nambé Pueblo",1
"Italian, Lithuanian",1
"Greek, American",1
 (Japanese,1
"British, Indian",1
"German, Australian",1
"Brazilian, Norwegian",1
"French, Venezuelan",1
"German, Mexican",1
"American, Filipino",1
"Romanian, Jewish, American",1
"American, Jewish, Romanian",1
"American, Danish",1
"British, Polish",1
"French, Iraqi",1
"French, Greek, Turkish",1
"Jewish, Brazilian",1
"French, Jewish, Romanian, Israeli",1
"British, Austrian",1
"Macedonian, Romanian",1
"Austrian, Belgian",1
"British, Portuguese",1
"Polish, Ukrainian, Russian",1
"French, Germans",1
"American, Icelandic",1
"Jewish, German, Romanian",1
"Azerbaijani, Russian",1
Paraguayan,1
"Austrian, Mexican",1
"American, Hungarian",1
"Japanese, Brazilian",1
Ethiopians,1
"Jewish, Swiss",1
"Greek, Portuguese",1
"Italian, British",1
"French, Portuguese",1
"Belarusian, Russian",1
"American, Guatemalan",1
Ugandan,1
Beninese,1
Afghan,1
"French, Russian, Finnish",1
"Austrian, Slovenian",1
Nepali,1
"German, French",1
"Polish, Ukrainian, Jewish",1
"French, Cuban",1
"French, Dominican",1
"Italian, Austrian",1
"Russian, Lithuanian",1
"British, Mexican",1
Ghanaian,1
"American, Egyptian",1
"Jewish, Belarusian, Russian",1
"Mexican, Guatemalan",1
"French, Vietnamese",1
 (Iranian,1
"Ghanaian, Nigerian",1
Sierra Leonean,1
"French, Czech",1
"American, South Korean",1
"Canadian, American",1
"French, Turkish",1
"Italian, Lebanese",1
 (Austrian,1
"Spanish, Uruguayan",1
"Italian, Jewish",1
Burkinabé,1
Tanzanian,1
"South African, Dutch",1
"Jewish, Lithuanian, Brazilian",1
"French, Spanish",1
"Jewish, Israeli, Lithuanian",1
"Spanish, Colombian",1
Caribbean,1
Ukrainians,1
"Spanish, Mexican",1
"Polish, Jewish, Ukrainian",1
Cypriot,1
"Italian, German",1
Oneida,1
"American, Jewish, German",1
Indigenous,1
"British, Jewish, Hungarian",1
Libyan,1
 (Indian,1
"French, Dutch",1
